"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Matt Gay (IND)","5","5","100.0","54","0","0","1","0","4","1","1","1","24.0","24.0","35.5%"
"2","Evan McPherson (CIN)","4","5","80.0","54","0","0","0","2","2","1","1","1","19.0","19.0","83.1%"
"3","Jason Myers (SEA)","5","5","100.0","43","0","0","4","1","0","2","2","1","18.0","18.0","31.7%"
"4","Tyler Bass (BUF)","3","3","100.0","54","0","0","2","0","1","4","4","1","15.0","15.0","47.3%"
"5","Chris Boswell (PIT)","3","3","100.0","57","0","0","0","2","1","2","2","1","15.0","15.0","17.1%"
"6","Matt Prater (ARI)","3","3","100.0","62","0","0","1","1","1","1","1","1","13.0","13.0","1.7%"
"7","Ka'imi Fairbairn (HOU)","3","3","100.0","33","0","2","1","0","0","4","4","1","13.0","13.0","48.8%"
"8","Harrison Butker (KC)","2","2","100.0","41","0","0","1","1","0","5","5","1","12.0","12.0","95.5%"
"9","Dustin Hopkins (CLE)","2","2","100.0","52","0","0","0","1","1","3","3","1","12.0","12.0","30.3%"
"10","Jake Moody (SF)","3","3","100.0","36","0","2","1","0","0","3","3","1","12.0","12.0","69.4%"
"11","Jake Elliott (PHI)","3","3","100.0","38","0","1","2","0","0","2","2","1","11.0","11.0","93.7%"
"12","Brett Maher (FA)","3","3","100.0","42","0","1","1","1","0","1","1","1","11.0","11.0","0.6%"
"13","Eddy Pineiro (CAR)","2","3","66.7","47","0","0","0","2","0","3","3","1","11.0","11.0","1.4%"
"14","Brandon Aubrey (DAL)","3","3","100.0","49","0","2","0","1","0","1","1","1","11.0","11.0","96.9%"
"15","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","10","10","1","10.0","10.0","46.2%"
"16","Chad Ryland (NE)","2","4","50.0","51","0","0","0","1","1","1","1","1","10.0","10.0","0.4%"
"17","Graham Gano (NYG)","2","2","100.0","57","0","0","0","1","1","0","0","1","9.0","9.0","1.3%"
"18","Wil Lutz (DEN)","2","2","100.0","31","0","1","1","0","0","2","2","1","8.0","8.0","10.3%"
"19","Riley Patterson (JAC)","2","2","100.0","37","0","1","1","0","0","2","2","1","8.0","8.0","13.1%"
"20","Younghoe Koo (ATL)","2","3","66.7","48","0","1","0","1","0","0","0","1","7.0","7.0","65.7%"
"21","Justin Tucker (BAL)","1","2","50.0","50","0","0","0","0","1","2","2","1","7.0","7.0","98.8%"
"22","Greg Joseph (GB)","1","1","100.0","23","0","1","0","0","0","3","3","1","6.0","6.0","3.7%"
"23","Greg Zuerlein (NYJ)","1","1","100.0","52","0","0","0","0","1","1","1","1","6.0","6.0","41.9%"
"24","Brandon McManus (FA)","1","3","33.3","33","0","0","1","0","0","2","2","1","5.0","5.0","18.2%"
"25","Blake Grupe (NO)","1","2","50.0","25","0","1","0","0","0","2","2","1","5.0","5.0","3.8%"
"26","Joey Slye (NE)","1","1","100.0","51","0","0","0","0","1","0","0","1","5.0","5.0","0.6%"
"27","Nick Folk (TEN)","1","1","100.0","44","0","0","0","1","0","0","0","1","4.0","4.0","9.4%"
"28","Anders Carlson (GB)","1","1","100.0","38","0","0","1","0","0","1","1","1","4.0","4.0","2.0%"
"29","Cameron Dicker (LAC)","0","1","0.0","0","0","0","0","0","0","4","4","1","4.0","4.0","45.5%"
"30","Daniel Carlson (LV)","1","1","100.0","26","0","1","0","0","0","1","1","1","4.0","4.0","24.2%"
"31","Cairo Santos (CHI)","1","1","100.0","21","0","1","0","0","0","1","1","1","4.0","4.0","23.4%"
"32","Chase McLaughlin (TB)","1","1","100.0","33","0","0","1","0","0","0","0","1","3.0","3.0","6.7%"
"33","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"34","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"36","Austin Seibert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"38","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Harrison Mevis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jack Browning (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Brayden Narveson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Joshua Karty (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"45","Cam Little (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"46","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Will Reichard (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"48","Jake Bates (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"49","John Parker Romo (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Cade York (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"51","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"66","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""