"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Kyren Williams (LAR)","16","143","8.9","56","2","0","6","6","61","10.2","2","0","1","32.4","32.4","96.3%"
"2","Christian McCaffrey (SF)","19","114","6.0","27","1","2","5","6","25","5.0","0","0","1","25.9","25.9","100.0%"
"3","Bijan Robinson (ATL)","16","91","5.7","17","0","1","3","6","32","10.7","1","0","1","24.3","24.3","99.9%"
"4","Raheem Mostert (MIA)","20","94","4.7","34","1","2","0","1","0","0","0","0","1","21.4","21.4","91.4%"
"5","Jonathan Taylor (IND)","15","91","6.1","17","0","2","0","0","0","0","0","0","1","21.1","21.1","98.8%"
"6","Isiah Pacheco (KC)","15","55","3.7","8","0","2","5","5","34","6.8","0","0","1","20.9","20.9","97.8%"
"7","Derrick Henry (BAL)","18","76","4.2","18","0","2","1","2","0","0.0","0","0","1","19.6","19.6","99.4%"
"8","Josh Jacobs (GB)","20","110","5.5","63","1","1","4","6","15","3.8","0","0","1","18.5","18.5","97.2%"
"9","Rhamondre Stevenson (NE)","21","98","4.7","15","0","1","5","5","9","1.8","0","0","1","16.7","16.7","85.2%"
"10","Tony Pollard (TEN)","13","79","6.1","27","1","1","6","6","24","4.0","0","0","1","16.3","16.3","93.1%"
"11","Najee Harris (PIT)","15","99","6.6","22","2","1","0","0","0","0","0","0","1","15.9","15.9","91.3%"
"12","Chuba Hubbard (CAR)","14","45","3.2","15","0","1","5","5","47","9.4","0","0","1","15.2","15.2","49.0%"
"13","David Montgomery (DET)","15","71","4.7","15","0","1","0","1","0","0","0","0","1","15.1","15.1","93.4%"
"14","Royce Freeman (DAL)","13","77","5.9","23","1","1","0","0","0","0","0","0","1","13.7","13.7","3.2%"
"15","Samaje Perine (DEN)","7","55","7.9","24","1","1","1","1","11","11.0","0","0","1","12.6","12.6","12.7%"
"16","Alvin Kamara (NO)","15","69","4.6","16","0","0","4","5","50","12.5","0","0","1","11.9","11.9","98.2%"
"17","Rachaad White (TB)","15","100","6.7","38","1","0","2","2","10","5.0","0","0","1","11.0","11.0","97.5%"
"18","James Cook (BUF)","16","43","2.7","11","0","0","6","7","57","9.5","0","0","1","10.0","10.0","97.8%"
"19","Keaton Mitchell (BAL)","9","64","7.1","29","1","0","2","2","25","12.5","0","0","1","8.9","8.9","17.1%"
"20","Rico Dowdle (DAL)","3","11","3.7","7","0","0","1","1","15","15.0","1","0","1","8.6","8.6","11.4%"
"21","Travis Etienne Jr. (JAC)","20","56","2.8","20","1","0","4","6","30","7.5","0","0","1","8.6","8.6","99.7%"
"22","D'Andre Swift (CHI)","14","80","5.7","36","1","0","1","1","4","4.0","0","0","1","8.4","8.4","94.0%"
"23","AJ Dillon (GB)","14","43","3.1","17","0","0","3","3","38","12.7","0","0","1","8.1","8.1","34.7%"
"24","Jerome Ford (CLE)","9","65","7.2","19","0","0","4","7","14","3.5","0","0","1","7.9","7.9","81.5%"
"25","Roschon Johnson (CHI)","10","35","3.5","7","0","0","5","5","40","8.0","0","0","1","7.5","7.5","13.8%"
"26","Jahmyr Gibbs (DET)","11","54","4.9","23","1","0","4","8","19","4.8","0","0","1","7.3","7.3","99.3%"
"27","Jeff Wilson Jr. (MIA)","11","56","5.1","14","0","0","3","3","17","5.7","0","0","1","7.3","7.3","6.7%"
"28","Devin Singletary (NYG)","6","18","3.0","14","0","0","6","7","54","9.0","0","0","1","7.2","7.2","83.9%"
"29","Javonte Williams (DEN)","18","65","3.6","15","0","0","3","6","6","2.0","0","0","1","7.1","7.1","89.2%"
"30","Zack Moss (CIN)","8","55","6.9","16","0","0","2","3","15","7.5","0","0","1","7.0","7.0","75.0%"
"31","Tyler Allgeier (ATL)","10","64","6.4","14","0","0","0","0","0","0","0","0","1","6.4","6.4","51.9%"
"32","Brian Robinson Jr. (WAS)","15","53","3.5","14","0","0","2","3","11","5.5","0","0","1","6.4","6.4","86.0%"
"33","Alexander Mattison (LV)","10","52","5.2","21","1","0","2","2","11","5.5","0","0","1","6.3","6.3","41.5%"
"34","D'Ernest Johnson (JAC)","7","19","2.7","7","0","0","1","2","42","42.0","0","0","1","6.1","6.1","2.7%"
"35","Joe Mixon (HOU)","8","16","2.0","4","0","0","2","2","44","22.0","0","0","1","6.0","6.0","99.0%"
"36","Zach Charbonnet (SEA)","14","47","3.4","10","0","0","4","4","11","2.8","0","0","1","5.8","5.8","64.0%"
"37","Ezekiel Elliott (DAL)","9","46","5.1","13","0","0","2","2","6","3.0","0","0","1","5.2","5.2","81.3%"
"38","Saquon Barkley (PHI)","12","46","3.8","19","0","0","1","3","6","6.0","0","0","1","5.2","5.2","100.0%"
"39","Breece Hall (NYJ)","7","25","3.6","11","0","0","7","9","24","3.4","0","0","1","4.9","4.9","98.9%"
"40","Latavius Murray (FA)","9","30","3.3","13","0","0","3","5","18","6.0","0","0","1","4.8","4.8","7.6%"
"41","Austin Ekeler (WAS)","10","32","3.2","6","0","0","5","6","32","6.4","0","1","1","4.4","4.4","92.9%"
"42","Cordarrelle Patterson (PIT)","8","43","5.4","12","0","0","0","0","0","0","0","0","1","4.3","4.3","1.4%"
"43","Jaylen Warren (PIT)","13","49","3.8","9","0","0","3","3","13","4.3","0","1","1","4.2","4.2","84.7%"
"44","Khalil Herbert (CHI)","6","24","4.0","8","0","0","2","2","14","7.0","0","0","1","3.8","3.8","29.1%"
"45","Gus Edwards (LAC)","8","26","3.3","5","0","0","1","1","11","11.0","0","0","1","3.7","3.7","80.5%"
"46","Antonio Gibson (NE)","6","21","3.5","6","0","0","3","4","16","5.3","0","0","1","3.7","3.7","54.0%"
"47","Kenneth Gainwell (PHI)","2","26","13.0","23","1","0","2","3","10","5.0","0","0","1","3.6","3.6","14.8%"
"48","Elijah Mitchell (SF)","7","39","5.6","13","0","0","1","1","-3","-3.0","0","0","1","3.6","3.6","9.0%"
"49","Michael Carter (ARI)","4","19","4.8","7","0","0","4","4","15","3.8","0","0","1","3.4","3.4","1.3%"
"50","James Conner (ARI)","6","27","4.5","14","0","0","4","5","5","1.3","0","0","1","3.2","3.2","91.6%"
"51","Justice Hill (BAL)","5","31","6.2","18","0","0","0","1","0","0","0","0","1","3.1","3.1","10.1%"
"52","Miles Sanders (CAR)","15","28","1.9","15","0","0","0","1","0","0","0","0","1","2.8","2.8","22.3%"
"53","Kareem Hunt (FA)","7","22","3.1","7","0","0","0","0","0","0","0","0","1","2.2","2.2","27.2%"
"54","Chris Rodriguez Jr. (WAS)","4","21","5.3","13","0","0","0","0","0","0","0","0","1","2.1","2.1","1.2%"
"55","Dalvin Cook (FA)","1","2","2.0","2","0","0","2","3","19","9.5","0","0","1","2.1","2.1","9.3%"
"56","Ty Johnson (BUF)","6","19","3.2","9","0","0","0","0","0","0","0","0","1","1.9","1.9","0.5%"
"57","Dameon Pierce (HOU)","5","14","2.8","4","0","0","1","1","4","4.0","0","0","1","1.8","1.8","27.7%"
"58","Darrynton Evans (BUF)","2","16","8.0","13","0","0","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"59","Matt Breida (FA)","2","6","3.0","6","0","0","1","1","10","10.0","0","0","1","1.6","1.6","1.1%"
"60","Emari Demercado (ARI)","3","15","5.0","9","0","0","0","0","0","0","0","0","1","1.5","1.5","2.1%"
"61","Patrick Taylor Jr. (SF)","3","11","3.7","5","0","0","1","1","4","4.0","0","0","1","1.5","1.5","2.0%"
"62","Joshua Kelley (FA)","3","8","2.7","3","0","0","2","2","6","3.0","0","0","1","1.4","1.4","6.6%"
"63","Boston Scott (LAR)","2","14","7.0","10","0","0","0","1","0","0","0","0","1","1.4","1.4","0.1%"
"64","Ameer Abdullah (LV)","1","11","11.0","11","0","0","1","1","2","2.0","0","0","1","1.3","1.3","0.7%"
"65","Chase Edmonds (TB)","1","11","11.0","11","0","0","0","1","0","0","0","0","1","1.1","1.1","0.8%"
"66","Ty Chandler (MIN)","4","8","2.0","6","0","0","1","2","3","3.0","0","0","1","1.1","1.1","57.4%"
"67","Jamaal Williams (NO)","2","6","3.0","3","0","0","2","2","4","2.0","0","0","1","1.0","1.0","10.3%"
"68","Tyjae Spears (TEN)","2","6","3.0","8","0","0","1","3","1","1.0","0","0","1","0.7","0.7","64.5%"
"69","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","0.6","0.6","0.0%"
"70","Keith Smith (FA)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","0.6","0.6","0.0%"
"71","Tank Bigsby (JAC)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","3.8%"
"72","Zach Evans (LAR)","3","6","2.0","5","0","0","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"73","Clyde Edwards-Helaire (KC)","3","5","1.7","5","0","0","0","0","0","0","0","0","1","0.5","0.5","23.9%"
"74","Jaleel McLaughlin (DEN)","2","4","2.0","6","0","0","0","0","0","0","0","0","1","0.4","0.4","11.8%"
"75","C.J. Ham (MIN)","0","0","0","0","0","0","2","3","3","1.5","0","0","1","0.3","0.3","0.1%"
"76","La'Mical Perine (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"77","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"78","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"79","Cam Akers (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"80","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9%"
"81","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"82","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"83","Tony Jones Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"85","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"87","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"88","Alec Ingold (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"89","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"90","Andrew Beck (HOU)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","0.0","0.0","0.1%"
"91","James Robinson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Jonathan Ward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Elijah Collins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"97","Zamir White (LV)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","74.5%"
"98","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"99","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.7%"
"100","Xazavian Valladay (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"102","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"103","Chase Brown (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","40.5%"
"104","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"105","Jack Colletto (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Lew Nichols III (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.7%"
"112","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Aaron Shampklin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"117","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"119","Louis Rees-Zammit (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"120","Aidan Robbins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Austin Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Deshaun Fenwick (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"124","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"125","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Jaden Shirden (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Emani Bailey (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Ramon Jefferson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"131","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"132","Cody Schrader (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"134","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Jacob Kibodi (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.3%"
"137","Lorenzo Lingard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Jalen Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Trent Pennix (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Jarveon Howard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Kobe Lewis (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Nathaniel Peat (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Chris Collier (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Sam Schnee (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Ray Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"149","Chris Brooks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Hunter Luepke (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"151","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Emanuel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"153","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Deneric Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"156","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Robert Burns (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Jacob Saylors (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"160","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1%"
"162","Daijun Edwards (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"164","Bucky Irving (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"165","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"166","Tyrion Davis-Price (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"167","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"168","Tyrone Tracy Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"169","Tyler Goodson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"170","Jordan Mason (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.2%"
"171","Kendall Milton (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"174","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Noah Cain (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"177","Steele Chambers (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Audric Estime (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"179","Blake Corum (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.4%"
"180","Ricky Person Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Snoop Conner (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Kenneth Walker III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.1%"
"183","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Keilan Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"185","Jase McClellan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"186","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"187","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Zander Horvath (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"191","Sean Tucker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"192","Ronnie Rivers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"193","Braelon Allen (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"194","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"195","Pierre Strong Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"196","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"198","Isaiah Spiller (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"199","De'Von Achane (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.8%"
"200","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.0%"
"201","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"202","Adam Prentice (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"203","Jake Funk (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Ben Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"206","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"207","Nick Bellore (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"208","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Kyle Juszczyk (SF)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.8%"
"211","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Aaron Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.9%"
"220","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"221","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Tarik Cohen (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Jeremy McNichols (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","D'Onta Foreman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5%"
"225","Mike Boone (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.6%"
"227","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"228","Nyheim Hines (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"229","Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"230","Rashaad Penny (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"231","John Kelly Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Ty Montgomery II (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"237","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Terrell Jennings (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","DeeJay Dallas (ARI)","2","10","5.0","7","0","0","1","1","5","5.0","0","1","1","-0.5","-0.5","0.6%"
""
""