"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","20","106","5.3","18","0","3","7","8","71","10.1","1","0","1","41.7","41.7","100.0%"
"2","David Montgomery (DET)","32","121","3.8","16","0","3","2","2","20","10.0","0","0","1","32.1","32.1","93.4%"
"3","Kyren Williams (LAR)","25","103","4.1","20","1","2","3","3","24","8.0","0","0","1","24.7","24.7","96.3%"
"4","De'Von Achane (MIA)","8","101","12.6","55","1","2","3","5","19","6.3","0","0","1","24.0","24.0","95.8%"
"5","Derrick Henry (BAL)","22","122","5.5","29","1","1","1","1","11","11.0","0","0","1","23.4","23.4","99.4%"
"6","Isiah Pacheco (KC)","20","115","5.8","48","1","1","3","3","43","14.3","0","0","1","21.8","21.8","97.8%"
"7","Josh Jacobs (GB)","17","58","3.4","9","0","1","8","11","81","10.1","0","0","1","19.9","19.9","97.2%"
"8","Khalil Herbert (CHI)","18","103","5.7","24","2","0","4","5","19","4.8","1","0","1","18.2","18.2","29.1%"
"9","Jaleel McLaughlin (DEN)","7","72","10.3","31","1","0","3","3","32","10.7","1","0","1","16.4","16.4","11.8%"
"10","Kenneth Walker III (SEA)","17","79","4.6","31","1","1","0","0","0","0","0","0","1","13.9","13.9","97.1%"
"11","D'Andre Swift (CHI)","14","56","4.0","8","0","1","4","4","23","5.8","0","0","1","13.9","13.9","94.0%"
"12","James Cook (BUF)","12","29","2.4","8","0","1","1","1","48","48.0","0","0","1","13.7","13.7","97.8%"
"13","Bijan Robinson (ATL)","14","105","7.5","38","2","0","5","5","32","6.4","0","0","1","13.7","13.7","99.9%"
"14","Brian Robinson Jr. (WAS)","14","45","3.2","15","0","1","2","2","6","3.0","0","0","1","11.1","11.1","86.0%"
"15","Dameon Pierce (HOU)","24","81","3.4","13","0","0","1","2","27","27.0","0","0","1","10.8","10.8","27.7%"
"16","Najee Harris (PIT)","14","71","5.1","23","1","0","1","2","32","32.0","0","0","1","10.3","10.3","91.3%"
"17","Alexander Mattison (LV)","17","95","5.6","17","0","0","1","1","3","3.0","0","0","1","9.8","9.8","41.5%"
"18","Zack Moss (CIN)","18","70","3.9","20","1","0","0","1","0","0","0","0","1","9.0","9.0","75.0%"
"19","Alvin Kamara (NO)","11","51","4.6","13","0","0","13","14","33","2.5","0","0","1","8.4","8.4","98.2%"
"20","Rachaad White (TB)","15","56","3.7","11","0","0","3","3","22","7.3","0","0","1","7.8","7.8","97.5%"
"21","Devin Singletary (NYG)","7","25","3.6","9","0","0","1","1","11","11.0","0","0","1","7.8","7.8","83.9%"
"22","Matt Breida (FA)","14","30","2.1","5","0","0","5","5","48","9.6","0","0","1","7.8","7.8","1.1%"
"23","Joe Mixon (HOU)","14","67","4.8","13","0","0","1","1","9","9.0","0","0","1","7.6","7.6","99.0%"
"24","Travis Etienne Jr. (JAC)","20","55","2.8","7","0","0","3","3","17","5.7","0","0","1","7.2","7.2","99.7%"
"25","Breece Hall (NYJ)","6","56","9.3","43","1","0","3","4","13","4.3","0","0","1","6.9","6.9","98.9%"
"26","Joshua Kelley (FA)","17","65","3.8","22","1","0","0","0","0","0","0","0","1","6.5","6.5","6.6%"
"27","Hunter Luepke (DAL)","2","4","2.0","3","0","1","0","0","0","0","0","0","1","6.4","6.4","0.1%"
"28","Tony Pollard (TEN)","11","47","4.3","16","0","0","3","3","13","4.3","0","0","1","6.0","6.0","93.1%"
"29","Tyjae Spears (TEN)","5","40","8.0","22","1","0","3","4","18","6.0","0","0","1","5.8","5.8","64.5%"
"30","Ronnie Rivers (LAR)","9","47","5.2","9","0","0","2","2","10","5.0","0","0","1","5.7","5.7","0.6%"
"31","Latavius Murray (FA)","4","32","8.0","29","1","0","2","2","24","12.0","0","0","1","5.6","5.6","7.6%"
"32","James Conner (ARI)","11","52","4.7","11","0","0","1","2","4","4.0","0","0","1","5.6","5.6","91.6%"
"33","Jaylen Warren (PIT)","8","29","3.6","18","0","0","6","6","26","4.3","0","0","1","5.5","5.5","84.7%"
"34","Chuba Hubbard (CAR)","14","41","2.9","7","0","0","2","2","12","6.0","0","0","1","5.3","5.3","49.0%"
"35","Jahmyr Gibbs (DET)","8","40","5.0","9","0","0","4","5","11","2.8","0","0","1","5.1","5.1","99.3%"
"36","Cam Akers (HOU)","5","40","8.0","10","0","0","2","2","11","5.5","0","0","1","5.1","5.1","9.2%"
"37","Pierre Strong Jr. (CLE)","5","49","9.8","40","1","0","0","0","0","0","0","0","1","4.9","4.9","0.6%"
"38","Gus Edwards (LAC)","15","48","3.2","16","0","0","2","3","1","0.5","0","0","1","4.9","4.9","80.5%"
"39","Jerome Ford (CLE)","9","26","2.9","10","0","0","5","6","19","3.8","0","0","1","4.5","4.5","81.5%"
"40","Melvin Gordon III (FA)","3","21","7.0","22","1","0","1","1","23","23.0","0","0","1","4.4","4.4","0.0%"
"41","Kenneth Gainwell (PHI)","4","14","3.5","13","0","0","2","2","7","3.5","0","0","1","4.1","4.1","14.8%"
"42","Zach Charbonnet (SEA)","5","31","6.2","15","0","0","1","3","9","9.0","0","0","1","4.0","4.0","64.0%"
"43","Rhamondre Stevenson (NE)","14","30","2.1","8","0","0","2","3","10","5.0","0","0","1","4.0","4.0","85.2%"
"44","Samaje Perine (DEN)","6","12","2.0","5","0","0","2","2","23","11.5","0","0","1","3.5","3.5","12.7%"
"45","Justice Hill (BAL)","3","33","11.0","15","0","0","0","0","0","0","0","0","1","3.3","3.3","10.1%"
"46","Miles Sanders (CAR)","13","19","1.5","6","0","0","3","3","13","4.3","0","0","1","3.2","3.2","22.3%"
"47","Damien Harris (FA)","6","29","4.8","8","0","0","0","0","0","0","0","0","1","2.9","2.9","4.6%"
"48","Isaiah Spiller (LAC)","5","12","2.4","4","0","0","2","2","15","7.5","0","0","1","2.7","2.7","0.8%"
"49","Antonio Gibson (NE)","6","19","3.2","10","0","0","1","1","7","7.0","0","0","1","2.6","2.6","54.0%"
"50","Raheem Mostert (MIA)","7","9","1.3","6","0","0","3","5","36","12.0","0","1","1","2.5","2.5","91.4%"
"51","Emari Demercado (ARI)","1","3","3.0","3","0","0","3","4","21","7.0","0","0","1","2.4","2.4","2.1%"
"52","Jordan Mason (SF)","3","10","3.3","4","0","0","1","1","13","13.0","0","0","1","2.3","2.3","2.2%"
"53","Alec Ingold (MIA)","0","0","0","0","0","0","1","1","23","23.0","0","0","1","2.3","2.3","0.1%"
"54","Ezekiel Elliott (DAL)","6","16","2.7","9","0","0","2","3","6","3.0","0","0","1","2.2","2.2","81.3%"
"55","Michael Carter (ARI)","1","9","9.0","9","0","0","2","3","12","6.0","0","0","1","2.1","2.1","1.3%"
"56","Ke'Shawn Vaughn (FA)","9","16","1.8","8","0","0","1","1","3","3.0","0","0","1","1.9","1.9","0.1%"
"57","Gary Brightwell (FA)","4","9","2.3","4","0","0","1","2","10","10.0","0","0","1","1.9","1.9","0.1%"
"58","Dalvin Cook (FA)","5","16","3.2","5","0","0","1","1","2","2.0","0","0","1","1.8","1.8","9.3%"
"59","Rico Dowdle (DAL)","3","9","3.0","9","0","0","1","1","8","8.0","0","0","1","1.7","1.7","11.4%"
"60","Zamir White (LV)","3","15","5.0","11","0","0","0","0","0","0","0","0","1","1.5","1.5","74.5%"
"61","Roschon Johnson (CHI)","5","13","2.6","7","0","0","1","1","2","2.0","0","0","1","1.5","1.5","13.8%"
"62","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","14","14.0","0","0","1","1.4","1.4","0.1%"
"63","Aaron Jones (MIN)","5","18","3.6","9","0","0","1","2","-4","-4.0","0","0","1","1.4","1.4","93.9%"
"64","Ameer Abdullah (LV)","0","0","0","0","0","0","2","2","14","7.0","0","0","1","1.4","1.4","0.7%"
"65","Clyde Edwards-Helaire (KC)","3","12","4.0","9","0","0","1","1","1","1.0","0","0","1","1.3","1.3","23.9%"
"66","Jacob Johnson (FA)","0","0","0","0","0","0","1","2","12","12.0","0","0","1","1.2","1.2","0.0%"
"67","Tyler Allgeier (ATL)","7","16","2.3","9","0","0","1","2","-4","-4.0","0","0","1","1.2","1.2","51.9%"
"68","Kareem Hunt (FA)","5","12","2.4","6","0","0","0","0","0","0","0","0","1","1.2","1.2","27.2%"
"69","AJ Dillon (GB)","5","11","2.2","6","0","0","0","1","0","0","0","0","1","1.1","1.1","34.7%"
"70","Deuce Vaughn (DAL)","8","9","1.1","3","0","0","1","1","2","2.0","0","0","1","1.1","1.1","1.2%"
"71","Tank Bigsby (JAC)","3","10","3.3","6","0","0","0","0","0","0","0","0","1","1.0","1.0","3.8%"
"72","Javonte Williams (DEN)","2","0","0.0","1","0","0","3","3","9","3.0","0","0","1","0.9","0.9","89.2%"
"73","Kendre Miller (NO)","1","3","3.0","3","0","0","1","1","5","5.0","0","0","1","0.8","0.8","16.7%"
"74","Trey Sermon (IND)","3","7","2.3","4","0","0","0","0","0","0","0","0","1","0.7","0.7","0.9%"
"75","Kyle Juszczyk (SF)","2","3","1.5","3","0","0","1","1","4","4.0","0","0","1","0.7","0.7","0.8%"
"76","Jerick McKinnon (FA)","3","7","2.3","3","0","0","0","1","0","0","0","0","1","0.7","0.7","16.1%"
"77","Mike Boone (CAR)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"78","Trayveon Williams (CIN)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.3%"
"79","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"80","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"81","La'Mical Perine (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"82","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"83","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9%"
"84","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"85","Derrick Gore (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"87","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"88","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.6%"
"89","Tony Jones Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","57.4%"
"91","James Robinson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"94","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"95","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"96","Andrew Beck (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"97","JaMycal Hasty (NE)","0","0","0","0","0","0","0","2","0","0","0","0","1","0.0","0.0","0.1%"
"98","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Jonathan Ward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Elijah Collins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"103","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.7%"
"105","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.1%"
"106","Xazavian Valladay (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"108","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"109","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"110","Jack Colletto (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Lew Nichols III (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"117","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Aaron Shampklin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"121","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Jaden Shirden (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Louis Rees-Zammit (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"124","Aidan Robbins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Austin Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Deshaun Fenwick (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"128","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"129","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"132","Ramon Jefferson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Emani Bailey (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"135","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"136","Cody Schrader (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Jacob Kibodi (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Ray Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"140","Lorenzo Lingard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Jalen Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Trent Pennix (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Jarveon Howard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Kobe Lewis (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Nathaniel Peat (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Chris Collier (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Sam Schnee (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"152","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.3%"
"153","Chris Brooks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"155","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Emanuel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"157","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Deneric Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"160","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Robert Burns (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Jacob Saylors (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Bucky Irving (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"165","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1%"
"166","Daijun Edwards (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"168","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"169","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Chris Rodriguez Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"171","Tyrone Tracy Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"172","Tyler Goodson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"173","Kendall Milton (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"175","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Tyrion Davis-Price (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Ricky Person Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"180","Steele Chambers (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Audric Estime (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"182","Snoop Conner (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Blake Corum (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.4%"
"184","Keilan Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"185","Jase McClellan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"186","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0%"
"187","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"191","Sean Tucker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"192","Zander Horvath (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Bryant Koback (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Braelon Allen (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"195","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"196","Noah Cain (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"199","Zach Evans (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"200","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.0%"
"201","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"202","Ben Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"204","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"205","Jake Funk (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Cordarrelle Patterson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"209","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Austin Ekeler (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.9%"
"218","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"219","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Tarik Cohen (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Jeremy McNichols (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Jamaal Williams (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"223","D'Onta Foreman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5%"
"224","C.J. Ham (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"225","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"226","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.6%"
"227","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"228","Royce Freeman (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.2%"
"229","Nyheim Hines (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"230","Saquon Barkley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"231","Boston Scott (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"232","Nick Bawden (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Chase Edmonds (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"234","Rashaad Penny (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"235","John Kelly Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Keith Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Ty Montgomery II (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Terrell Jennings (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","D'Ernest Johnson (JAC)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","1","-0.2","-0.2","2.7%"
"245","Chase Brown (CIN)","0","0","0","0","0","0","1","1","-3","-3.0","0","0","1","-0.3","-0.3","40.5%"
"246","Adam Prentice (NO)","1","5","5.0","5","0","0","1","2","5","5.0","0","1","1","-1.0","-1.0","0.0%"
""
""